id,name,manufacturer,model,category,price_brl,power_w,efficiency,voltage_v,current_a,image,image_url,source,availability,description,image_tier,specs_count
"neosolar_chargers_24021","https://portal.zydon.com.br/api/files/e3ef3254-b830-4c90-9e71-4cdc365b718a/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","3028","750","","","718","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24021.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24021.jpg","portalb2b.neosolar.com.br","true","Kit Bomba Solar Helicoidal ZTROON - 3ZTS2.0-150-48-750W - até 150m ou 12.000L/dia","high","2"
"neosolar_chargers_23761","https://portal.zydon.com.br/api/files/a598cf98-81a3-4099-930d-631b798105d9/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","4871","","","","81","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_23761.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_23761.jpg","portalb2b.neosolar.com.br","true","Kit Bomba Solar Híbrida ZTROON - 4ZTLR11.5-100-200-1500-A/D - até 100m ou 69.000 L/dia (23761)","high","1"
"neosolar_chargers_20862","https://portal.zydon.com.br/api/files/e7886184-46e7-4a8c-a041-deef067e84ba/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","1927","750","","","4","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20862.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20862.jpg","portalb2b.neosolar.com.br","true","""Bomba Solar ZTROON 3"""" - 75m ou 26m³/dia | 3ZTPC5.2-75-96-750W""","high","2"
"neosolar_chargers_23759","https://portal.zydon.com.br/api/files/bdae5acc-18e6-451f-bb19-083da80777fa/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","3167","750","","","5","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_23759.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_23759.jpg","portalb2b.neosolar.com.br","true","Kit Bomba Solar Centrífuga ZTROON - 3ZTPC5.2-75-96-750W - até 75m ou 31.200 L/dia (23759)","high","2"
"neosolar_chargers_20868","https://portal.zydon.com.br/api/files/c3cc4bd2-96ce-412b-aec4-eb08b9db4aa7/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","2560","","","","4","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20868.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20868.jpg","portalb2b.neosolar.com.br","true","""Bomba Solar Híbrida ZTROON 4"""" - 100m ou 57.5m³/dia | 4ZTLR11.5-100-200-1500-A/D""","high","1"
"neosolar_chargers_24607","https://portal.zydon.com.br/api/files/4449a6bc-4e2c-4b3c-aa81-4272e39780e1/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","2246","500","","","4449","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24607.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24607.jpg","portalb2b.neosolar.com.br","true","Kit Bomba Solar Helicoidal ZTROON - 3ZTS1.7-109-48-500W - até 900Wp","high","2"
"neosolar_chargers_20859","https://portal.zydon.com.br/api/files/0621ac19-b6a6-4ba6-aedd-228e57e3c5dd/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","1525","500","","","621","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20859.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20859.jpg","portalb2b.neosolar.com.br","true","""Bomba Solar ZTROON 3"""" - 109 m ou 8.5m³/dia | 3ZTS1.7-109-48-500W""","high","2"
"neosolar_chargers_20870","https://portal.zydon.com.br/api/files/d4919d44-29b2-42ce-b9a4-6d68d9b8e2a9/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","40","","","","9","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20870.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20870.jpg","portalb2b.neosolar.com.br","true","Eixo Helicoidal (Parafuso) para Reposição – Bomba Solar ZTROON","high","1"
"neosolar_chargers_25220","https://portal.zydon.com.br/api/files/315aa012-f6c2-4ee7-905b-4bd48b531d3a/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","1631","","","","315","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_25220.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_25220.jpg","portalb2b.neosolar.com.br","true","Kit Bomba Solar Anauger P100 MAXX - até 40m ou 8.600 L/dia","high","1"
"neosolar_chargers_24795","https://portal.zydon.com.br/api/files/e96f9f86-f7da-4bca-aa8d-4e1b3ae2b9d1/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","1266","","","12","3","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24795.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24795.jpg","portalb2b.neosolar.com.br","true","Kit Bomba Solar 12V Shurflo 8000 MAXX - até 42m ou 2.940 L/dia","high","2"
"neosolar_chargers_24475","https://portal.zydon.com.br/api/files/a2764dab-9208-430f-b8f0-aa11af8b1619/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","2598","","","","11","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24475.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24475.jpg","portalb2b.neosolar.com.br","true","""Inversor Drive Solar p/ Bomba 7","high","1"
"neosolar_chargers_24473","https://portal.zydon.com.br/api/files/6d62d439-8ed4-4d3c-b345-9c47cadac00e/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","3543","","","","","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24473.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24473.jpg","portalb2b.neosolar.com.br","true","Inversor Drive Solar p/ Bomba 10CV Trifásica - APOLLO GS500-11G-4TB","high","0"
"neosolar_chargers_24249","https://portal.zydon.com.br/api/files/772224e9-9d93-45b5-8a35-233d99f588a0/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","1734","","","","8","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24249.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24249.jpg","portalb2b.neosolar.com.br","true","Kit Bomba Solar Anauger R100 STD - até 40m ou 4.600 L/dia","high","1"
"neosolar_chargers_24802","https://portal.zydon.com.br/api/files/fb1c109d-388c-469f-811d-3ec1de14edd4/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","6989","","","","","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24802.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24802.jpg","portalb2b.neosolar.com.br","true","Kit Bomba Solar Híbrida ZTROON - 4ZTSC6-255-200-2200-A/D - até 255m ou 30.000L/dia","high","0"
"neosolar_chargers_26904","https://portal.zydon.com.br/api/files/29523666-a11e-48d4-bac4-bf6845f69af6/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","7250","","","","69","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_26904.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_26904.jpg","portalb2b.neosolar.com.br","true","Kit Bomba Solar Híbrida ZTROON - 4ZTSC6-255-200-2200-A/D - até 255m ou 30.000L/dia","high","1"
"neosolar_chargers_25128","https://portal.zydon.com.br/api/files/52c465fb-6ce7-490a-a82d-da9a2ce10115/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","1198","","","12","490","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_25128.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_25128.jpg","portalb2b.neosolar.com.br","true","Kit Bomba Solar 12V Shurflo 8000 STD - até 42m ou 2.940 L/dia","high","2"
"neosolar_chargers_22154","https://portal.zydon.com.br/api/files/e94f6fbf-55a8-452c-b3df-3b5f1aa4f1e8/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","332","","","24","55","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_22154.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_22154.jpg","portalb2b.neosolar.com.br","true","Driver para Bomba Solar ZTROON - Controlador MPPT de 24V","high","2"
"neosolar_chargers_24467","https://portal.zydon.com.br/api/files/c215e4c1-2dba-43f8-b0e9-46d3a728fa14/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","4778","","","","3","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24467.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24467.jpg","portalb2b.neosolar.com.br","true","""Bomba Solar Híbrida ZTROON 4"""" - até 255m ou 30m³/dia | 4ZTSC6-255-200-2200-A/D""","high","1"
"neosolar_chargers_20044","https://portal.zydon.com.br/api/files/e424c0e8-a9f6-4061-9ffe-22d4441f7d4d/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","1096","","","12","","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20044.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20044.jpg","portalb2b.neosolar.com.br","true","Bomba Solar Superfície 12V Shurflo 8000 - até 42m ou 2.940 L/dia","high","1"
"neosolar_chargers_24019","https://portal.zydon.com.br/api/files/d2c63e11-a924-4b82-a994-89254b5507c7/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","4589","1500","","","","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24019.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24019.jpg","portalb2b.neosolar.com.br","true","Kit Bomba Solar Superfície ZTROON - ZTHF50-17-96-1500W - até 17m ou 270m³/dia","high","1"
"neosolar_chargers_20871","https://portal.zydon.com.br/api/files/f9dd20b6-2967-4bb1-bc99-14989b1f8dd3/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","84","","","","","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20871.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20871.jpg","portalb2b.neosolar.com.br","true","Sensor de Nível de Poço – Reposição Bombas Solares ZTROON","high","0"
"neosolar_chargers_27327","https://portalb2b.neosolar.com.br/b2b-noimage-white.svg","NEOSOLAR","","chargers","1818","","","","","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_27327.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_27327.jpg","portalb2b.neosolar.com.br","true","Kit Bomba Solar Anauger P100 STD - até 40m ou 4.600 L/dia","high","0"
"neosolar_chargers_24474","https://portal.zydon.com.br/api/files/03fb698b-f298-48a6-8ebd-eafbfd908f06/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","1487","","","","48","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24474.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24474.jpg","portalb2b.neosolar.com.br","true","Inversor Drive Solar p/ Bomba 3CV Trifásica - APOLLO GS500-2.2G-2SB","high","1"
"neosolar_chargers_20034","https://portal.zydon.com.br/api/files/7bd18043-be42-4937-b866-9d817845b88a/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","1483","","","","88","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20034.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20034.jpg","portalb2b.neosolar.com.br","true","Bomba Solar Anauger P100 - até 40m ou 8.600 L/dia","high","1"
"neosolar_chargers_21294","https://portal.zydon.com.br/api/files/8e54df63-16da-49b8-b88f-8d6378dc5bae/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","1766","","","","","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_21294.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_21294.jpg","portalb2b.neosolar.com.br","true","Bomba Solar Superfície ZTROON - 17m ou 250m³/dia | ZTHF50-17-96-1500","high","0"
"neosolar_chargers_24801","https://portal.zydon.com.br/api/files/e5089d6e-af8d-45f3-abdd-7c3853215942/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","5715","","","","","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24801.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24801.jpg","portalb2b.neosolar.com.br","true","Kit Bomba Solar Híbrida ZTROON - 4ZTPC14-125-200-2200-A/D - até 125m ou 70.000L/dia","high","0"
"neosolar_chargers_26903","https://portal.zydon.com.br/api/files/f1893dd9-96be-4b81-9189-5c98b4b3ea6f/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","5974","","","","","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_26903.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_26903.jpg","portalb2b.neosolar.com.br","true","Kit Bomba Solar Híbrida ZTROON - 4ZTPC14-125-200-2200-A/D - até 125m ou 70.000L/dia","high","0"
"neosolar_chargers_25023","https://portal.zydon.com.br/api/files/2066062b-d49f-4c8c-873c-183ca7ab1317/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","6809","4880","","220","7","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_25023.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_25023.jpg","portalb2b.neosolar.com.br","true","Kit Solar p/ Bomba (CA) até 3CV 220V - Apollo GS500 2.2G-2SB - 4.88kWp","high","3"
"neosolar_chargers_24716","https://portal.zydon.com.br/api/files/3e25e0ef-b64c-4e00-bf78-d841a1c9b644/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","6592","4960","","220","841","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24716.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24716.jpg","portalb2b.neosolar.com.br","true","Kit Solar p/ Bomba (CA) até 3CV 220V - Apollo GS500 2.2G-2SB - 4.96kWp","high","3"
"neosolar_chargers_27328","https://portalb2b.neosolar.com.br/b2b-noimage-white.svg","NEOSOLAR","","chargers","1835","","","","","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_27328.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_27328.jpg","portalb2b.neosolar.com.br","true","Kit Bomba Solar Anauger P100 MAXX - até 40m ou 8.600 L/dia","high","0"
"neosolar_chargers_27330","https://portalb2b.neosolar.com.br/b2b-noimage-white.svg","NEOSOLAR","","chargers","1879","","","","","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_27330.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_27330.jpg","portalb2b.neosolar.com.br","true","Kit Bomba Solar Anauger R100 MAXX - até 40m ou 8.600 L/dia","high","0"
"neosolar_chargers_24718","https://portal.zydon.com.br/api/files/5ea025f9-bf2e-441c-be33-cb32f31556e4/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","17270","16120.000000000002","","380","","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24718.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24718.jpg","portalb2b.neosolar.com.br","true","Kit Solar p/ Bomba (CA) até 7.5CV 380V - Apollo GS500 7.5G - 16.12kWp","high","2"
"neosolar_chargers_26901","https://portalb2b.neosolar.com.br/b2b-noimage-white.svg","NEOSOLAR","","chargers","15699","16120.000000000002","","380","","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_26901.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_26901.jpg","portalb2b.neosolar.com.br","true","Kit Solar p/ Bomba (CA) até 7.5CV 380V - Apollo GS500 7.5G - 16.12kWp","high","2"
"neosolar_chargers_26900","https://portalb2b.neosolar.com.br/b2b-noimage-white.svg","NEOSOLAR","","chargers","6870","4960","","220","","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_26900.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_26900.jpg","portalb2b.neosolar.com.br","true","Kit Solar p/ Bomba (CA) até 3CV 220V - Apollo GS500 2.2G-2SB - 4.96kWp","high","2"
"neosolar_chargers_24606","https://portal.zydon.com.br/api/files/340000bb-fb69-4221-9280-57e9ac3f7293/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","2110","500","","","9","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24606.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24606.jpg","portalb2b.neosolar.com.br","true","Kit Bomba Solar Helicoidal ZTROON - 3ZTS1.7-109-48-500W - até 109 m ou 10.200 L/dia","high","2"
"neosolar_chargers_24608","https://portal.zydon.com.br/api/files/235b0238-222a-4987-a269-46d142ac1f8b/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","1905","550","","","222","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24608.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24608.jpg","portalb2b.neosolar.com.br","true","Kit Bomba Solar Superfície ZTROON - ZTHF6-24-48-550W - até 24m ou 36m³/dia","high","2"
"neosolar_chargers_20872","https://portal.zydon.com.br/api/files/ef1db30e-ed10-4589-a48d-e4b26f1cfbf1/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","690","","","48","","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20872.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20872.jpg","portalb2b.neosolar.com.br","true","Driver para Bomba Solar ZTROON - Controlador MPPT de 48V","high","1"
"neosolar_chargers_26902","https://portal.zydon.com.br/api/files/8a3276e9-8a4d-468c-b977-528688d934e2/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","23171","24180","","380","8","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_26902.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_26902.jpg","portalb2b.neosolar.com.br","true","Kit Solar p/ Bomba (CA) até 10CV 380V - Apollo GS500 11G - 24.18kWp","high","3"
"neosolar_chargers_20045","https://portal.zydon.com.br/api/files/ef249691-d95d-4552-bd1e-410d6146870e/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","2891","","","24","","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20045.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20045.jpg","portalb2b.neosolar.com.br","true","Bomba Solar Submersa 24V Shurflo 9325- até 70m","high","1"
"neosolar_chargers_24717","https://portal.zydon.com.br/api/files/b02062dd-503f-466c-a9f7-239a8f0f36f2/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","25936","24180","","380","239","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24717.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24717.jpg","portalb2b.neosolar.com.br","true","Kit Solar p/ Bomba (CA) até 10CV 380V - Apollo GS500 11G - 24.18kWp","high","3"
"neosolar_chargers_25025","https://portal.zydon.com.br/api/files/e1314e53-fbec-41bf-be88-33f3f5cd8412/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","26433","23390","","380","","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_25025.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_25025.jpg","portalb2b.neosolar.com.br","true","Kit Solar p/ Bomba (CA) até 10CV 380V - Apollo GS500 11G - 23.39kWp","high","2"
"neosolar_chargers_23760","https://portal.zydon.com.br/api/files/c653cc8e-bcdb-4d99-b5c7-4689cb67ddd2/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","1570","210","","","","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_23760.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_23760.jpg","portalb2b.neosolar.com.br","true","Kit Bomba Solar Helicoidal ZTROON 3ZTS1.2-77-24-210W - até 77m ou 7.200 L/dia (23760)","high","1"
"neosolar_chargers_27386","https://portalb2b.neosolar.com.br/b2b-noimage-white.svg","NEOSOLAR","","chargers","0","","","","","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_27386.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_27386.jpg","portalb2b.neosolar.com.br","false","*KIT TESTE PORTAL B2B NÃO UTILIZAR*","high","0"
"neosolar_chargers_25024","https://portal.zydon.com.br/api/files/c4246867-fa3d-406b-96af-325f3e22e2ea/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","17535","15860","","380","96","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_25024.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_25024.jpg","portalb2b.neosolar.com.br","false","Kit Solar p/ Bomba (CA) até 7.5CV 380V - Apollo GS500 7.5G - 15.86kWp","high","3"
"neosolar_chargers_25012","https://portal.zydon.com.br/api/files/e2b51192-3fa9-44ca-a3cc-1027916c512a/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","5663","","","","512","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_25012.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_25012.jpg","portalb2b.neosolar.com.br","false","Kit Bomba Solar Híbrida ZTROON - 4ZTPC14-125-200-2200-A/D - até 125m ou 70.000L/dia","high","1"
"neosolar_chargers_26360","https://portal.zydon.com.br/api/files/c20c0bdb-e332-4394-879f-9d7427a99eb6/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","21145","18270","","380","7427","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_26360.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_26360.jpg","portalb2b.neosolar.com.br","false","Kit Solar p/ Bomba (CA) até 7.5CV 380V - Apollo GS500 7.5G - 18.27kWp","high","3"
