MuiStack-root href,MuiTypography-root,MuiTypography-root 2,MuiTypography-root 3,MuiTypography-root 4,MuiButtonBase-root 3
https://portalb2b.neosolar.com.br/novo-pedido/produto/27171,Kit Gerador Energia Solar 700kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar Estrutura Metálica,Energia: até 84.000kWp | Potência: 700kWp | Paineis: 1x 700Wp | Microinversor: Deye de 2250W | Estrutura: Estrutura Metálica,Energia: até 84.000kWp | Potência: 700kWp | Paineis: 1x 700Wp | Microinversor: Deye de 2250W | Estrutura: Estrutura Metálica,"R$ 2.342,52",
https://portalb2b.neosolar.com.br/novo-pedido/produto/26931,Kit Gerador Energia Solar 1.86kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar c/ Parafuso Madeira,"Compre múltiplos p/ maiores potências |  Energia: até 223.2kWp | Potência: 1.86kWp | Paineis: 3x 620Wp | Microinversor: Deye de 2250W | Estrutura: c/ Parafuso Madeira | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","Compre múltiplos p/ maiores potências |  Energia: até 223.2kWp | Potência: 1.86kWp | Paineis: 3x 620Wp | Microinversor: Deye de 2250W | Estrutura: c/ Parafuso Madeira | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","R$ 3.060,70",
https://portalb2b.neosolar.com.br/novo-pedido/produto/26924,Kit Gerador Energia Solar 1.24kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar c/ Parafuso Madeira,"Compre múltiplos p/ maiores potências |  Energia: até 148.8kWp | Potência: 1.24kWp | Paineis: 2x 620Wp | Microinversor: Deye de 2250W | Estrutura: c/ Parafuso Madeira | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","Compre múltiplos p/ maiores potências |  Energia: até 148.8kWp | Potência: 1.24kWp | Paineis: 2x 620Wp | Microinversor: Deye de 2250W | Estrutura: c/ Parafuso Madeira | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","R$ 2.722,97",
https://portalb2b.neosolar.com.br/novo-pedido/produto/27163,Kit Gerador Energia Solar 2.8kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar Estrutura p/ Madeira,Energia: até 336.0kWp | Potência: 2.8kWp | Paineis: 4x 700Wp | Microinversor: Deye de 2250W | Estrutura: Estrutura p/ Madeira,Energia: até 336.0kWp | Potência: 2.8kWp | Paineis: 4x 700Wp | Microinversor: Deye de 2250W | Estrutura: Estrutura p/ Madeira,"R$ 3.249,93",
https://portalb2b.neosolar.com.br/novo-pedido/produto/26922,Kit Gerador Energia Solar 1.24kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar com GANCHO p/ CERÂMICA,"Compre múltiplos p/ maiores potências |  Energia: até 148.8kWp | Potência: 1.24kWp | Paineis: 2x 620Wp | Microinversor: Deye de 2250W | Estrutura: Gancho p/ Cerâmica | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","Compre múltiplos p/ maiores potências |  Energia: até 148.8kWp | Potência: 1.24kWp | Paineis: 2x 620Wp | Microinversor: Deye de 2250W | Estrutura: Gancho p/ Cerâmica | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","R$ 2.725,43",
https://portalb2b.neosolar.com.br/novo-pedido/produto/26937,Kit Gerador Energia Solar 2.48kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar c/ Mini Trilho,"Compre múltiplos p/ maiores potências |  Energia: até 297.6kWp | Potência: 2.48kWp | Paineis: 4x 620Wp | Microinversor: Deye de 2250W | Estrutura: c/ Mini Trilho | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","Compre múltiplos p/ maiores potências |  Energia: até 297.6kWp | Potência: 2.48kWp | Paineis: 4x 620Wp | Microinversor: Deye de 2250W | Estrutura: c/ Mini Trilho | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","R$ 3.242,70",
https://portalb2b.neosolar.com.br/novo-pedido/produto/26923,Kit Gerador Energia Solar 1.24kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar com Mini Trilho,"Compre múltiplos p/ maiores potências |  Energia: até 148.8kWp | Potência: 1.24kWp | Paineis: 2x 620Wp | Microinversor: Deye de 2250W | Estrutura: c/ Mini Trilho | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","Compre múltiplos p/ maiores potências |  Energia: até 148.8kWp | Potência: 1.24kWp | Paineis: 2x 620Wp | Microinversor: Deye de 2250W | Estrutura: c/ Mini Trilho | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","R$ 2.723,34",
https://portalb2b.neosolar.com.br/novo-pedido/produto/26930,Kit Gerador Energia Solar 1.86kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar c/ Mini Trilho,"Compre múltiplos p/ maiores potências |  Energia: até 223.2kWp | Potência: 1.86kWp | Paineis: 3x 620Wp | Microinversor: Deye de 2250W | Estrutura: c/ Mini Trilho | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","Compre múltiplos p/ maiores potências |  Energia: até 223.2kWp | Potência: 1.86kWp | Paineis: 3x 620Wp | Microinversor: Deye de 2250W | Estrutura: c/ Mini Trilho | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","R$ 3.056,35",
https://portalb2b.neosolar.com.br/novo-pedido/produto/26944,Kit Gerador Energia Solar 0.62kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar c/ Mini Trilho,"Compre múltiplos p/ maiores potências |  Energia: até 74.4kWp | Potência: 0.62kWp | Paineis: 1x 620Wp | Microinversor: Deye de 2250W | Estrutura: c/ Mini Trilho | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","Compre múltiplos p/ maiores potências |  Energia: até 74.4kWp | Potência: 0.62kWp | Paineis: 1x 620Wp | Microinversor: Deye de 2250W | Estrutura: c/ Mini Trilho | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","R$ 2.280,58",
https://portalb2b.neosolar.com.br/novo-pedido/produto/26929,Kit Gerador Energia Solar 1.86kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar c/ Gancho p/ Cêramica,"Compre múltiplos p/ maiores potências |  Energia: até 223.2kWp | Potência: 1.86kWp | Paineis: 3x 620Wp | Microinversor: Deye de 2250W | Estrutura: c/ Gancho p/ Cêramica | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","Compre múltiplos p/ maiores potências |  Energia: até 223.2kWp | Potência: 1.86kWp | Paineis: 3x 620Wp | Microinversor: Deye de 2250W | Estrutura: c/ Gancho p/ Cêramica | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","R$ 3.062,47",
https://portalb2b.neosolar.com.br/novo-pedido/produto/26943,Kit Gerador Energia Solar 0.62kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar c/ Gancho p/ Cerâmica,"Compre múltiplos p/ maiores potências |  Energia: até 74.4kWp | Potência: 0.62kWp | Paineis: 1x 620Wp | Microinversor: Deye de 2250W | Estrutura: c/ Gancho p/ Cerâmica | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","Compre múltiplos p/ maiores potências |  Energia: até 74.4kWp | Potência: 0.62kWp | Paineis: 1x 620Wp | Microinversor: Deye de 2250W | Estrutura: c/ Gancho p/ Cerâmica | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","R$ 2.283,29",
https://portalb2b.neosolar.com.br/novo-pedido/produto/27160,Kit Gerador Energia Solar 2.8kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar Estrutura p/ Laje,Energia: até 336.0kWp | Potência: 2.8kWp | Paineis: 4x 700Wp | Microinversor: Deye de 2250W | Estrutura: Estrutura p/ Laje,Energia: até 336.0kWp | Potência: 2.8kWp | Paineis: 4x 700Wp | Microinversor: Deye de 2250W | Estrutura: Estrutura p/ Laje,"R$ 3.408,54",
https://portalb2b.neosolar.com.br/novo-pedido/produto/27162,Kit Gerador Energia Solar 2.8kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar Estrutura c/ Mini Trilho,Energia: até 336.0kWp | Potência: 2.8kWp | Paineis: 4x 700Wp | Microinversor: Deye de 2250W | Estrutura: Estrutura c/ Mini Trilho,Energia: até 336.0kWp | Potência: 2.8kWp | Paineis: 4x 700Wp | Microinversor: Deye de 2250W | Estrutura: Estrutura c/ Mini Trilho,"R$ 3.252,64",
https://portalb2b.neosolar.com.br/novo-pedido/produto/27146,Kit Gerador Energia Solar 1.4kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar Estrutura p/ Laje,Energia: até 168.0kWp | Potência: 1.4kWp | Paineis: 2x 700Wp | Microinversor: Deye de 2250W | Estrutura: Estrutura p/ Laje,Energia: até 168.0kWp | Potência: 1.4kWp | Paineis: 2x 700Wp | Microinversor: Deye de 2250W | Estrutura: Estrutura p/ Laje,"R$ 3.053,39",
https://portalb2b.neosolar.com.br/novo-pedido/produto/27153,Kit Gerador Energia Solar 2.1kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar Estrutura p/ Laje,Energia: até 252.0kWp | Potência: 2.1kWp | Paineis: 3x 700Wp | Microinversor: Deye de 2250W | Estrutura: Estrutura p/ Laje,Energia: até 252.0kWp | Potência: 2.1kWp | Paineis: 3x 700Wp | Microinversor: Deye de 2250W | Estrutura: Estrutura p/ Laje,"R$ 3.417,42",
https://portalb2b.neosolar.com.br/novo-pedido/produto/27167,Kit Gerador Energia Solar 700kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar Estrutura p/ Laje,Energia: até 84.000kWp | Potência: 700kWp | Paineis: 1x 700Wp | Microinversor: Deye de 2250W | Estrutura: Estrutura p/ Laje,Energia: até 84.000kWp | Potência: 700kWp | Paineis: 1x 700Wp | Microinversor: Deye de 2250W | Estrutura: Estrutura p/ Laje,"R$ 2.494,04",
https://portalb2b.neosolar.com.br/novo-pedido/produto/26845,"Kit Energia Solar On Grid Híbrido - 3,7kWp Lítio 48V (26845)",6x 620Wp DAH SOLAR | 1x Inversor Híbrido 5kW Deye | 1x 100Ah/48V Lítio Epever,6x 620Wp DAH SOLAR | 1x Inversor Híbrido 5kW Deye | 1x 100Ah/48V Lítio Epever,"R$ 14.800,61",
https://portalb2b.neosolar.com.br/novo-pedido/produto/26857,"Kit Energia Solar On Grid Híbrido - 3,72kWp 4,8kWh Lítio 48V (26857)",6x 620Wp DAH Solar | 1x Inversor Híbrido 5kW Deye | 1x 100Ah/48V Lítio Epever,6x 620Wp DAH Solar | 1x Inversor Híbrido 5kW Deye | 1x 100Ah/48V Lítio Epever,"R$ 21.559,38",
https://portalb2b.neosolar.com.br/novo-pedido/produto/27091,"Kit de Energia Solar On Grid 3,72KWP-OS 5KW LI s/ Estrutura",6x 620Wp DAH | 5kW Mono 220V 1 MPPT AFCI | 1x Stringbox 1 STRING IP65 25A 1000V | Estrutura de fixação: s/ Estrutura,6x 620Wp DAH | 5kW Mono 220V 1 MPPT AFCI | 1x Stringbox 1 STRING IP65 25A 1000V | Estrutura de fixação: s/ Estrutura,"R$ 5.327,97",
https://portalb2b.neosolar.com.br/novo-pedido/produto/27131,"Kit de Energia Solar On Grid 3,72KWP-OS 5KW LI Estrutura p/ Madeira",6x 620Wp DAH | 5kW Mono 220V 1 MPPT AFCI | 1x Stringbox 1 STRING IP65 25A 1000V | Estrutura de fixação: Estrutura p/ Madeira,6x 620Wp DAH | 5kW Mono 220V 1 MPPT AFCI | 1x Stringbox 1 STRING IP65 25A 1000V | Estrutura de fixação: Estrutura p/ Madeira,"R$ 6.071,97",
https://portalb2b.neosolar.com.br/novo-pedido/produto/26795,"Kit Energia Solar On Grid Híbrido - 3,72kWp 4,8kWh Lítio 48V (26795)",6x 620Wp DAH Solar | 1x Inversor Híbrido 5kW Deye | 1x 100Ah/48V Lítio Ztroon,6x 620Wp DAH Solar | 1x Inversor Híbrido 5kW Deye | 1x 100Ah/48V Lítio Ztroon,"R$ 20.843,75",
https://portalb2b.neosolar.com.br/novo-pedido/produto/26783,"Kit Energia Solar On Grid Híbrido - 3,7kWp Lítio 48V (26783)",6x 620Wp DAH SOLAR | 1x Inversor Híbrido 5kW Deye | 1x 100Ah/48V Lítio Ztroon,6x 620Wp DAH SOLAR | 1x Inversor Híbrido 5kW Deye | 1x 100Ah/48V Lítio Ztroon,"R$ 14.084,97",
https://portalb2b.neosolar.com.br/novo-pedido/produto/26669,"Kit Energia Solar On Grid Híbrido - 8.06kWp 4,8kWh Lítio 48V (26669)",13x 620Wp DAH Solar | 1x Inversor Híbrido 12kW Deye | 1x 100Ah/48V Lítio UCB,13x 620Wp DAH Solar | 1x Inversor Híbrido 12kW Deye | 1x 100Ah/48V Lítio UCB,"R$ 31.591,94",
https://portalb2b.neosolar.com.br/novo-pedido/produto/26657,"Kit Energia Solar On Grid Híbrido - 3,72kWp 4,8kWh Lítio 48V (26657)",6x 620Wp DAH Solar | 1x Inversor Híbrido 5kW Deye | 1x 100Ah/48V Lítio UCB,6x 620Wp DAH Solar | 1x Inversor Híbrido 5kW Deye | 1x 100Ah/48V Lítio UCB,"R$ 21.022,97",
https://portalb2b.neosolar.com.br/novo-pedido/produto/27137,"Kit de Energia Solar On Grid 4,96KWP-OS 5KW LI Estrutura p/ Madeira",8x 620Wp DAH | 5kW Mono 220V 1 MPPT AFCI | 1x Stringbox 1 STRING IP65 25A 1000V | Estrutura de fixação: Estrutura p/ Madeira,8x 620Wp DAH | 5kW Mono 220V 1 MPPT AFCI | 1x Stringbox 1 STRING IP65 25A 1000V | Estrutura de fixação: Estrutura p/ Madeira,"R$ 7.848,27",
https://portalb2b.neosolar.com.br/novo-pedido/produto/26766,"Kit Energia Solar On Grid Híbrido - 5.65kWp 4,8kWh Lítio 48V (26766)",10x 565Wp ZnShine | 1x Inversor Híbrido 5kW Deye | 2x 100Ah/48V Lítio Ztroon,10x 565Wp ZnShine | 1x Inversor Híbrido 5kW Deye | 2x 100Ah/48V Lítio Ztroon,"R$ 27.456,69",
https://portalb2b.neosolar.com.br/novo-pedido/produto/26754,"Kit Energia Solar On Grid Híbrido - 5.65kWp 4,8kWh Lítio 48V (26754)",10x 565Wp ZnShine | 1x Inversor Híbrido 5kW Deye | 2x 100Ah/48V Lítio Ztroon,10x 565Wp ZnShine | 1x Inversor Híbrido 5kW Deye | 2x 100Ah/48V Lítio Ztroon,"R$ 20.697,91",
https://portalb2b.neosolar.com.br/novo-pedido/produto/26767,"Kit Energia Solar On Grid Híbrido - 5.65kWp 4,8kWh Lítio 48V (26767)",10x 565Wp ZnShine | 1x Inversor Híbrido 5kW Deye | 3x 100Ah/48V Lítio Ztroon,10x 565Wp ZnShine | 1x Inversor Híbrido 5kW Deye | 3x 100Ah/48V Lítio Ztroon,"R$ 31.861,03",
https://portalb2b.neosolar.com.br/novo-pedido/produto/26768,"Kit Energia Solar On Grid Híbrido - 5.65kWp 4,8kWh Lítio 48V (26768)",10x 565Wp ZnShine | 1x Inversor Híbrido 5kW Deye | 4x 100Ah/48V Lítio Ztroon,10x 565Wp ZnShine | 1x Inversor Híbrido 5kW Deye | 4x 100Ah/48V Lítio Ztroon,,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/26755,"Kit Energia Solar On Grid Híbrido - 5.65kWp 4,8kWh Lítio 48V (26755)",10x 565Wp ZnShine | 1x Inversor Híbrido 5kW Deye | 3x 100Ah/48V Lítio Ztroon,10x 565Wp ZnShine | 1x Inversor Híbrido 5kW Deye | 3x 100Ah/48V Lítio Ztroon,"R$ 25.102,25",
https://portalb2b.neosolar.com.br/novo-pedido/produto/26817,"Kit Energia Solar On Grid Híbrido - 5.65kWp 4,8kWh Lítio 48V (26817)",10x 565Wp ZnShine | 1x Inversor Híbrido 5kW Deye | 3x 100Ah/48V Lítio Epever,10x 565Wp ZnShine | 1x Inversor Híbrido 5kW Deye | 3x 100Ah/48V Lítio Epever,,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/26765,"Kit Energia Solar On Grid Híbrido - 5.65kWp 4,8kWh Lítio 48V (26765)",10x 565Wp ZnShine | 1x Inversor Híbrido 5kW Deye | 1x 100Ah/48V Lítio Ztroon,10x 565Wp ZnShine | 1x Inversor Híbrido 5kW Deye | 1x 100Ah/48V Lítio Ztroon,"R$ 23.052,36",
https://portalb2b.neosolar.com.br/novo-pedido/produto/26753,"Kit Energia Solar On Grid Híbrido - 5.65kWp 4,8kWh Lítio 48V (26753)",10x 565Wp ZnShine | 1x Inversor Híbrido 5kW Deye | 1x 100Ah/48V Lítio Ztroon,10x 565Wp ZnShine | 1x Inversor Híbrido 5kW Deye | 1x 100Ah/48V Lítio Ztroon,"R$ 16.293,58",
https://portalb2b.neosolar.com.br/novo-pedido/produto/26815,"Kit Energia Solar On Grid Híbrido - 5.65kWp 4,8kWh Lítio 48V (26815)",10x 565Wp ZnShine | 1x Inversor Híbrido 5kW Deye | 1x 100Ah/48V Lítio Epever,10x 565Wp ZnShine | 1x Inversor Híbrido 5kW Deye | 1x 100Ah/48V Lítio Epever,,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/26816,"Kit Energia Solar On Grid Híbrido - 5.65kWp 4,8kWh Lítio 48V (26816)",10x 565Wp ZnShine | 1x Inversor Híbrido 5kW Deye | 2x 100Ah/48V Lítio Epever,10x 565Wp ZnShine | 1x Inversor Híbrido 5kW Deye | 2x 100Ah/48V Lítio Epever,,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/26628,"Kit Energia Solar On Grid Híbrido - 5.65kWp 4,8kWh Lítio 48V (26628)",10x 565Wp ZnShine | 1x Inversor Híbrido 5kW Deye | 2x 100Ah/48V Lítio,10x 565Wp ZnShine | 1x Inversor Híbrido 5kW Deye | 2x 100Ah/48V Lítio,,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/27166,Kit Gerador Energia Solar 2.8kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar s/ Estrutura,Energia: até 336.0kWp | Potência: 2.8kWp | Paineis: 4x 700Wp | Microinversor: Deye de 2250W | Estrutura: s/ Estrutura,Energia: até 336.0kWp | Potência: 2.8kWp | Paineis: 4x 700Wp | Microinversor: Deye de 2250W | Estrutura: s/ Estrutura,"R$ 3.047,53",
https://portalb2b.neosolar.com.br/novo-pedido/produto/26936,Kit Gerador Energia Solar 2.48kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar c/ Gancho p/ Cerâmica,"Compre múltiplos p/ maiores potências |  Energia: até 297.6kWp | Potência: 2.48kWp | Paineis: 4x 620Wp | Microinversor: Deye de 2250W | Estrutura: c/ Gancho p/ Cerâmica | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","Compre múltiplos p/ maiores potências |  Energia: até 297.6kWp | Potência: 2.48kWp | Paineis: 4x 620Wp | Microinversor: Deye de 2250W | Estrutura: c/ Gancho p/ Cerâmica | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","R$ 3.247,51",
https://portalb2b.neosolar.com.br/novo-pedido/produto/27130,"Kit de Energia Solar On Grid 3,72KWP-OS 5KW LI Estrutura c/ Mini Trilho",6x 620Wp DAH | 5kW Mono 220V 1 MPPT AFCI | 1x Stringbox 1 STRING IP65 25A 1000V | Estrutura de fixação: Estrutura c/ Mini Trilho,6x 620Wp DAH | 5kW Mono 220V 1 MPPT AFCI | 1x Stringbox 1 STRING IP65 25A 1000V | Estrutura de fixação: Estrutura c/ Mini Trilho,"R$ 6.071,97",
https://portalb2b.neosolar.com.br/novo-pedido/produto/27136,"Kit de Energia Solar On Grid 4,96KWP-OS 5KW LI Estrutura c/ Mini Trilho",8x 620Wp DAH | 5kW Mono 220V 1 MPPT AFCI | 1x Stringbox 1 STRING IP65 25A 1000V | Estrutura de fixação: Estrutura c/ Mini Trilho,8x 620Wp DAH | 5kW Mono 220V 1 MPPT AFCI | 1x Stringbox 1 STRING IP65 25A 1000V | Estrutura de fixação: Estrutura c/ Mini Trilho,"R$ 7.848,27",
https://portalb2b.neosolar.com.br/novo-pedido/produto/25050,Kit Energia Solar Off Grid - 870Wp 100Ah/24V Lítio (25050),"2x 435Wp Longi | 1x 40A MPPT Epever | 1x 100Ah/25,6V Lítio Epever | Sem Inversor","2x 435Wp Longi | 1x 40A MPPT Epever | 1x 100Ah/25,6V Lítio Epever | Sem Inversor","R$ 6.147,89",
https://portalb2b.neosolar.com.br/novo-pedido/produto/27128,"Kit de Energia Solar On Grid 3,72KWP-OS 5KW LI Estrutura p/ Laje",6x 620Wp DAH | 5kW Mono 220V 1 MPPT AFCI | 1x Stringbox 1 STRING IP65 25A 1000V | Estrutura de fixação: Estrutura p/ Laje,6x 620Wp DAH | 5kW Mono 220V 1 MPPT AFCI | 1x Stringbox 1 STRING IP65 25A 1000V | Estrutura de fixação: Estrutura p/ Laje,"R$ 6.629,97",
