MuiStack-root href,MuiBox-root src,MuiTypography-root,MuiTypography-root 2,MuiTypography-root 3,notranslate,MuiTypography-root 4,MuiButtonBase-root 3
https://portalb2b.neosolar.com.br/novo-pedido/produto/20056,https://portal.zydon.com.br/api/files/fc04571a-b4b2-42fa-8246-bc008537937a/content?ingress=portalb2b.neosolar.com.br,"Cabo Adaptador de Carro Elétrico NeoCharge NCX1 até 7,4kW - T2-T1 32A",Cabo adaptador para Carro Elétrico com uma extremidade Tipo 2 e outra extremidade Tipo 1 para carregamento em corrente máxima de 32 A. Indicado para recargas de veículos elétricos com tomada Tipo 1 e conta com garantia de 1 ano (já incluindo os 90 dias da garantia legal) contra defeito de fabricação,"R$ 427,25",,Cabo adaptador para Carro Elétrico com uma extremidade Tipo 2 e outra extremidade Tipo 1 para carregamento em corrente máxima de 32 A. Indicado para recargas de veículos elétricos com tomada Tipo 1 e conta com garantia de 1 ano (já incluindo os 90 dias da garantia legal) contra defeito de fabricação,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/20057,https://portal.zydon.com.br/api/files/4c05c19b-ee5d-422b-96bc-f929cba832aa/content?ingress=portalb2b.neosolar.com.br,Cabo Epever OTG para comunicação celular Android,Cabo de conexão Epever OTG com função de comunicação entre o telefone móvel Android e controlador solar de carga.,"R$ 19,98",,Cabo de conexão Epever OTG com função de comunicação entre o telefone móvel Android e controlador solar de carga.,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/20055,https://portal.zydon.com.br/api/files/08fc0f16-7be5-4270-996e-22014f7feb5d/content?ingress=portalb2b.neosolar.com.br,"Cabo Adaptador para Carro Elétrico NeoCharge NCXGB até 7,4 kW T2-GB/T 32A",---,"R$ 420,70",,,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/20084,https://portal.zydon.com.br/api/files/ba30ffd2-2d40-48e6-a05f-fee839413665/content?ingress=portalb2b.neosolar.com.br,"Cabo para Carro Elétrico EVlink até 7,4 kW - T2-T1 32A",---,"R$ 3.764,84",,,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/20082,https://portal.zydon.com.br/api/files/bb6e67f2-ac55-49c3-bdf3-34a1f2c8c1c6/content?ingress=portalb2b.neosolar.com.br,Cabo para Carro Elétrico NeoCharge NCT2-3F até 22kW - T2-T2 32A 3F,---,"R$ 938,76",,,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/20105,https://portal.zydon.com.br/api/files/197e063e-f89d-4d8f-b478-2d793b78c4cc/content?ingress=portalb2b.neosolar.com.br,"Carregador VE Mini Wallbox NeoCharge NC1000 - 7,4kW - T2","Carregador de Carro Elétrico Mini Wallbox com suporte triplo, potência até 7,4 kW e 1 cabo Tipo 2. Acomanha bolsa para tranporte junto ao veículo. Indicado para recargas residenciais e conta com garantia de 1 ano contra defeito de fabricação.","R$ 2.290,52",,"Carregador de Carro Elétrico Mini Wallbox com suporte triplo, potência até 7,4 kW e 1 cabo Tipo 2. Acomanha bolsa para tranporte junto ao veículo. Indicado para recargas residenciais e conta com garantia de 1 ano contra defeito de fabricação.",Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/20106,https://portal.zydon.com.br/api/files/29ad4445-ff4b-4822-9339-a859c4385305/content?ingress=portalb2b.neosolar.com.br,"Carregador Carro Elétrico Portátil NeoCharge NC100 3,7 kW T2-BR",---,"R$ 864,32",,,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/20109,https://portal.zydon.com.br/api/files/c516166f-8bdb-47aa-bebf-6ffb551384ca/content?ingress=portalb2b.neosolar.com.br,Carregador VE Portátil NeoCharge NC400 - 22kW - T2,Carregador de Carro Elétrico Portátil com potência de até 22 kW e um plugue/tomada Tipo 2 para carregamento e bolsa para transporte. Indicado para recargas emergenciais e conta com garantia de 12 meses (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.,"R$ 2.126,75",,Carregador de Carro Elétrico Portátil com potência de até 22 kW e um plugue/tomada Tipo 2 para carregamento e bolsa para transporte. Indicado para recargas emergenciais e conta com garantia de 12 meses (já incluindo os 90 dias da garantia legal) contra defeito de fabricação.,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/20110,https://portal.zydon.com.br/api/files/7d1dc2a4-cab5-4dcb-bfda-3ef06db440c1/content?ingress=portalb2b.neosolar.com.br,Carregador Carro Elétrico Portátil NeoCharge NC400 - 22kW - T2,Carregador de Carro Elétrico Portátil com potência de até 22 kW e um plugue/tomada Tipo 2 para carregamento e bolsa para transporte. Indicado para recargas emergenciais e conta com garantia de 1 ano contra defeito de fabricação.,"R$ 2.126,75",,Carregador de Carro Elétrico Portátil com potência de até 22 kW e um plugue/tomada Tipo 2 para carregamento e bolsa para transporte. Indicado para recargas emergenciais e conta com garantia de 1 ano contra defeito de fabricação.,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/20114,https://portal.zydon.com.br/api/files/39ccfb44-13a5-40d5-b0eb-4633ee57860f/content?ingress=portalb2b.neosolar.com.br,Carregador Carro Elétrico Smart Wallbox NeoCharge NC4000S - 22kW - T2,"Carregador de Carro Elétrico Smart Wallbox NeoCharge com potência até 22 kW (trifásico) e tomada liberada Tipo 2. Apresenta função Smart para controle e monitoramento e conexão com protocolo OCPP. Pode ser instalado em parede ou totem, na área interna ou externa. Conta com garantia de 1 ano.","R$ 3.127,12",,"Carregador de Carro Elétrico Smart Wallbox NeoCharge com potência até 22 kW (trifásico) e tomada liberada Tipo 2. Apresenta função Smart para controle e monitoramento e conexão com protocolo OCPP. Pode ser instalado em parede ou totem, na área interna ou externa. Conta com garantia de 1 ano.",Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/20356,https://portal.zydon.com.br/api/files/e52a18bf-ec38-4535-8c65-d522985e2b99/content?ingress=portalb2b.neosolar.com.br,Quadro de Proteção NeoCharge - NCP-A20 (7kW - Tipo A),---,"R$ 451,96",,,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/20357,https://portal.zydon.com.br/api/files/c17627ef-8b01-4090-a954-50c9c2656ec4/content?ingress=portalb2b.neosolar.com.br,Quadro de proteção NeoCharge - NCP-B20 (7kW - Tipo B),---,"R$ 403,60",,,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/20392,https://portal.zydon.com.br/api/files/f0e7011c-06d5-4eac-bd2e-1d2ea7b369c3/content?ingress=portalb2b.neosolar.com.br,Pedestal p/ Carregador Carro Elétrico NeoCharge NCT10-B - Estação de Recarga,Pedestal de Aço com Alta Qualidade para Carregador de Veículo Elétrico.,"R$ 2.034,57",,Pedestal de Aço com Alta Qualidade para Carregador de Veículo Elétrico.,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/20781,https://portal.zydon.com.br/api/files/6c0bafb5-e093-4182-8a34-be1796efc220/content?ingress=portalb2b.neosolar.com.br,Cabo para Carro Elétrico EVlink até 22 kW - T2-T2 32A 3F,---,,,,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/20085,https://portal.zydon.com.br/api/files/528c58b6-dbdf-4759-9a9d-e94e3295a9e9/content?ingress=portalb2b.neosolar.com.br,"Cabo para Carro Elétrico EVlink até 7,4 kW - T2-T2 32A",---,"R$ 3.764,84",,,Indisponível
